Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
95,25,7,1,"[25, 23, 13, 9, 7]",500.0,26.8,12.8,3.3,,,,,,U,OK,1.0340039730072021,10.8,213.78125
96,25,8,1,"[25, 18, 14, 10, 8]",400.0,21.6,13.6,2.8,,,,,,U,OK,1.0439350605010986,10.0,213.78125
97,25,8,1,"[25, 18, 14, 10, 8]",400.0,21.6,13.6,2.8,,,,,,U,OK,1.0469257831573486,12.0,213.78125
98,25,9,1,"[25, 23, 13, 9]",400.0,21.4,12.8,2.6,,,,,,U,OK,1.0398058891296387,12.0,213.78125
99,25,9,1,"[25, 23, 13, 9]",400.0,21.4,12.8,2.6,,,,,,U,OK,1.0416491031646729,13.6,213.78125
100,25,10,1,"[25, 18, 14, 10]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0429198741912842,11.0,213.78125
101,25,10,1,"[25, 18, 14, 10]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0455219745635986,7.3,213.78125
102,25,13,1,"[25, 23, 13]",300.0,16.0,12.8,1.9,,,,,,U,OK,1.0276870727539062,9.6,213.78125
103,25,13,1,"[25, 23, 13]",300.0,16.0,12.8,1.9,,,,,,U,OK,1.0310468673706055,10.5,213.78125
104,25,14,1,"[25, 18, 14]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.0400550365447998,11.0,213.78125
105,25,14,1,"[25, 18, 14]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.040428876876831,11.0,213.78125
106,25,18,1,"[25, 18]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0232622623443604,13.6,213.78125
107,25,18,1,"[25, 18]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0235352516174316,10.1,213.78125
108,25,21,1,"[25, 23, 26, 21]",300.0,16.0,1.0,2.1,,,,,,U,OK,1.0333778858184814,4.8,213.78125
109,25,21,1,"[25, 23, 26, 21]",300.0,16.0,1.0,2.1,,,,,,U,OK,1.0206749439239502,12.0,213.78125
110,25,23,1,"[25, 23]",50.0,2.7,13.8,0.4,,,,,,U,OK,1.0255022048950195,6.9,213.78125
111,25,23,1,"[25, 23]",50.0,2.7,13.8,0.4,,,,,,U,OK,1.0248138904571533,16.3,213.78125
112,26,3,1,"[26, 21, 13, 9, 7, 5, 3]",650.0,34.9,1.0,4.4,,,,,,U,OK,1.0472900867462158,3.7,213.78125
113,26,3,1,"[26, 21, 13, 9, 7, 5, 3]",650.0,34.9,1.0,4.4,,,,,,U,OK,1.0464508533477783,4.9,213.78125
114,26,4,1,"[26, 21, 13, 9, 10, 8, 4]",750.0,40.1,1.0,4.9,,,,,,U,OK,1.0495257377624512,4.8,213.78125
115,26,4,1,"[26, 21, 13, 9, 10, 8, 4]",750.0,40.1,1.0,4.9,,,,,,U,OK,1.04880690574646,1.3,213.78125
116,26,5,1,"[26, 21, 13, 9, 7, 5]",500.0,27.0,13.6,3.5,,,,,,U,OK,1.0422039031982422,10.8,213.78125
117,26,7,1,"[26, 21, 13, 9, 7]",400.0,21.6,13.6,2.8,,,,,,U,OK,1.036972999572754,9.9,213.78125
118,26,8,1,"[26, 21, 13, 9, 10, 8]",550.0,29.5,1.0,3.8,,,,,,U,OK,1.0368728637695312,11.4,213.78125
119,26,8,1,"[26, 21, 13, 9, 10, 8]",550.0,29.5,1.0,3.8,,,,,,U,OK,1.0426092147827148,11.0,213.78125
120,26,9,1,"[26, 21, 13, 9]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0331568717956543,10.0,213.78125
121,26,9,1,"[26, 21, 13, 9]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.035024881362915,11.1,213.78125
122,26,10,1,"[26, 21, 13, 9, 10]",450.0,24.1,1.0,3.0,,,,,,U,OK,1.037566900253296,13.3,213.78125
123,26,13,1,"[26, 21, 13]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.0185739994049072,3.5,213.78125
124,26,14,1,"[26, 23, 25, 18, 14]",400.0,21.4,1.0,2.8,,,,,,U,OK,1.0335719585418701,4.7,213.78125
125,26,18,1,"[26, 23, 25, 18]",300.0,16.0,1.0,2.1,,,,,,U,OK,1.0583198070526123,3.6,213.78125
126,26,21,1,"[26, 21]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.023710012435913,4.9,213.78125
127,26,23,1,"[26, 23]",150.0,7.9,1.0,1.0,,,,,,U,OK,1.0218827724456787,2.4,213.78125
128,26,25,1,"[26, 23, 25]",200.0,10.6,1.0,1.4,,,,,,U,OK,1.0597808361053467,14.0,213.78125
129,26,25,1,"[26, 23, 25]",200.0,10.6,1.0,1.4,,,,,,U,OK,1.063852071762085,8.2,213.78125
130,30,3,1,"[30, 25, 18, 14, 10, 8, 3]",800.0,42.8,3.8,5.2,,,,,,U,OK,1.056974172592163,8.6,213.78125
131,30,3,1,"[30, 25, 18, 14, 10, 8, 3]",800.0,42.8,3.8,5.2,,,,,,U,OK,1.0548200607299805,6.0,213.78125
132,30,4,1,"[30, 18, 14, 10, 8, 4]",800.0,42.6,1.0,5.0,,,,,,U,OK,1.0551109313964844,11.9,213.78125
133,30,5,1,"[30, 25, 18, 14, 10, 9, 7, 5]",850.0,45.5,1.0,5.6,,,,,,U,OK,1.0528099536895752,12.5,213.78125
134,30,7,1,"[30, 25, 23, 13, 9, 7]",700.0,37.4,3.8,4.5,,,,,,U,OK,1.048257827758789,7.1,213.78125
135,30,8,1,"[30, 18, 14, 10, 8]",600.0,32.0,1.0,3.8,,,,,,U,OK,1.0519177913665771,15.5,213.78125
136,30,9,1,"[30, 25, 23, 13, 9]",600.0,32.0,3.8,3.8,,,,,,U,OK,1.0444879531860352,17.9,213.78125
137,30,10,1,"[30, 18, 14, 10]",500.0,26.6,1.0,3.1,,,,,,U,OK,1.048184871673584,17.9,213.78125
138,30,13,1,"[30, 25, 23, 13]",500.0,26.6,3.8,3.1,,,,,,U,OK,1.0353960990905762,22.0,213.78125
139,30,14,1,"[30, 18, 14]",400.0,21.2,1.0,2.4,,,,,,U,OK,1.034364938735962,17.3,213.78125
140,30,18,1,"[30, 18]",300.0,15.8,1.0,1.7,,,,,,U,OK,1.0210762023925781,5.9,213.78125
141,30,21,1,"[30, 25, 23, 26, 21]",500.0,26.6,1.0,3.3,,,,,,U,OK,1.039815902709961,11.0,213.78125
142,30,23,1,"[30, 25, 23]",250.0,13.3,3.8,1.6,,,,,,U,OK,1.029904842376709,11.9,213.78125
143,30,25,1,"[30, 25]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0239899158477783,15.9,213.78125
144,30,26,1,"[30, 25, 23, 26]",400.0,21.2,1.0,2.6,,,,,,U,OK,1.0289032459259033,9.9,213.78125
