Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
97,25,8,1,"[25, 18, 14, 10, 8]",400.0,21.6,13.6,2.8,,,,,,U,OK,1.0583620071411133,1.2,209.046875
98,25,9,1,"[25, 23, 13, 9]",400.0,21.4,12.8,2.6,,,,,,U,OK,1.0558390617370605,2.4,209.046875
99,25,9,1,"[25, 23, 13, 9]",400.0,21.4,12.8,2.6,,,,,,U,OK,1.0562608242034912,1.2,209.046875
100,25,10,1,"[25, 18, 14, 10]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.05196213722229,2.4,209.046875
101,25,10,1,"[25, 18, 14, 10]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0480289459228516,8.1,209.046875
102,25,13,1,"[25, 23, 13]",300.0,16.0,12.8,1.9,,,,,,U,OK,1.053455114364624,22.2,209.046875
103,25,13,1,"[25, 23, 13]",300.0,16.0,12.8,1.9,,,,,,U,OK,1.050611972808838,8.0,209.046875
104,25,14,1,"[25, 18, 14]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.0514521598815918,21.0,209.046875
105,25,14,1,"[25, 18, 14]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.0526306629180908,6.1,209.046875
106,25,18,1,"[25, 18]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.044692039489746,21.2,209.046875
107,25,18,1,"[25, 18]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0487980842590332,3.6,209.046875
108,25,21,1,"[25, 23, 26, 21]",300.0,16.0,1.0,2.1,,,,,,U,OK,1.0442957878112793,4.8,209.046875
109,25,21,1,"[25, 23, 26, 21]",300.0,16.0,1.0,2.1,,,,,,U,OK,1.0475378036499023,2.4,209.0625
110,25,23,1,"[25, 23]",50.0,2.7,13.8,0.4,,,,,,U,OK,1.045356035232544,3.7,209.0625
111,25,23,1,"[25, 23]",50.0,2.7,13.8,0.4,,,,,,U,OK,1.0485739707946777,3.6,209.0625
112,26,3,1,"[26, 21, 13, 9, 7, 5, 3]",650.0,34.9,1.0,4.4,,,,,,U,OK,1.063173770904541,4.9,209.0625
113,26,3,1,"[26, 21, 13, 9, 7, 5, 3]",650.0,34.9,1.0,4.4,,,,,,U,OK,1.0557599067687988,0.0,209.0625
114,26,4,1,"[26, 21, 13, 9, 10, 8, 4]",750.0,40.1,1.0,4.9,,,,,,U,OK,1.0554239749908447,0.0,209.0625
115,26,4,1,"[26, 23, 13, 14, 10, 8, 4]",1000.0,53.2,1.0,6.2,,,,,,U,OK,1.0538859367370605,5.7,209.0625
