Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
78,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,,,,,,U,OK,0.0003509521484375,0.0,208.625
79,23,9,1,"[23, 13, 9]",350.0,18.7,12.8,2.2,,,,,,U,OK,0.00030112266540527344,0.0,208.625
80,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,,,,,,U,OK,0.0004887580871582031,12.7,208.625
81,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,,,,,,U,OK,0.0003170967102050781,12.9,208.625
82,23,13,1,"[23, 13]",250.0,13.3,12.8,1.5,,,,,,U,OK,0.0003521442413330078,3.5,208.625
83,23,13,1,"[23, 13]",250.0,13.3,12.8,1.5,,,,,,U,OK,0.0002410411834716797,0.0,208.625
84,23,14,1,"[23, 25, 18, 14]",250.0,13.5,13.6,1.8,,,,,,U,OK,0.0004329681396484375,0.0,208.625
85,23,18,1,"[23, 25, 18]",150.0,8.1,13.6,1.2,,,,,,U,OK,0.0002048015594482422,0.0,208.625
86,23,18,1,"[23, 25, 18]",150.0,8.1,13.6,1.2,,,,,,U,OK,0.00026988983154296875,0.0,208.625
87,23,21,1,"[23, 26, 21]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.0003132820129394531,0.0,208.625
88,25,3,1,"[25, 18, 14, 10, 8, 3]",600.0,32.2,3.8,4.0,,,,,,U,OK,0.0004591941833496094,0.0,208.625
89,25,3,1,"[25, 18, 14, 10, 8, 3]",600.0,32.2,3.8,4.0,,,,,,U,OK,0.00030994415283203125,0.0,208.625
90,25,4,1,"[25, 18, 14, 10, 8, 4]",600.0,32.2,3.8,4.0,,,,,,U,OK,0.00013065338134765625,10.6,208.625
91,25,4,1,"[25, 18, 14, 10, 8, 4]",600.0,32.2,3.8,4.0,,,,,,U,OK,0.00016880035400390625,9.4,208.625
92,25,5,1,"[25, 18, 14, 10, 9, 7, 5]",650.0,34.9,1.0,4.4,,,,,,U,OK,0.00042891502380371094,14.5,208.625
93,25,5,1,"[25, 18, 14, 10, 9, 7, 5]",650.0,34.9,1.0,4.4,,,,,,U,OK,0.0003719329833984375,0.0,208.625
94,25,7,1,"[25, 18, 14, 10, 9, 7]",550.0,29.5,1.0,3.8,,,,,,U,OK,0.0002789497375488281,0.0,208.625
95,25,7,1,"[25, 18, 14, 10, 9, 7]",550.0,29.5,1.0,3.8,,,,,,U,OK,0.00037479400634765625,0.0,208.625
96,25,8,1,"[25, 18, 14, 10, 8]",400.0,21.6,13.6,2.8,,,,,,U,OK,0.000362396240234375,0.0,208.625
97,25,8,1,"[25, 18, 14, 10, 8]",400.0,21.6,13.6,2.8,,,,,,U,OK,0.0003662109375,0.0,208.625
98,25,9,1,"[25, 18, 14, 10, 9]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.0003578662872314453,0.0,208.625
99,25,9,1,"[25, 18, 14, 10, 9]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.0003190040588378906,0.0,208.625
100,25,10,1,"[25, 18, 14, 10]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.0004401206970214844,11.4,208.625
101,25,10,1,"[25, 18, 14, 10]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.0003330707550048828,15.9,208.625
102,25,13,1,"[25, 23, 13]",300.0,16.0,12.8,1.9,,,,,,U,OK,0.00044417381286621094,0.0,208.625
103,25,13,1,"[25, 23, 13]",300.0,16.0,12.8,1.9,,,,,,U,OK,0.0002727508544921875,0.0,208.625
104,25,14,1,"[25, 18, 14]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.0003819465637207031,0.0,208.625
105,25,14,1,"[25, 18, 14]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.00022912025451660156,0.0,208.625
106,25,18,1,"[25, 18]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.00025200843811035156,0.0,208.625
107,25,18,1,"[25, 18]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0001957416534423828,0.0,208.625
108,25,21,1,"[25, 23, 26, 21]",300.0,16.0,1.0,2.1,,,,,,U,OK,0.00031685829162597656,0.0,208.625
109,25,21,1,"[25, 23, 26, 21]",300.0,16.0,1.0,2.1,,,,,,U,OK,0.0002779960632324219,0.0,208.625
110,25,23,1,"[25, 23]",50.0,2.7,13.8,0.4,,,,,,U,OK,0.0003509521484375,11.4,208.625
111,25,23,1,"[25, 23]",50.0,2.7,13.8,0.4,,,,,,U,OK,0.0002219676971435547,0.0,208.625
112,26,3,1,"[26, 21, 13, 9, 7, 5, 3]",650.0,34.9,1.0,4.4,,,,,,U,OK,0.000492095947265625,0.0,208.625
113,26,3,1,"[26, 21, 13, 9, 7, 5, 3]",650.0,34.9,1.0,4.4,,,,,,U,OK,0.0004930496215820312,0.0,208.625
114,26,4,1,"[26, 21, 13, 9, 10, 8, 4]",750.0,40.1,1.0,4.9,,,,,,U,OK,0.00028896331787109375,0.0,208.625
115,26,4,1,"[26, 21, 13, 9, 10, 8, 4]",750.0,40.1,1.0,4.9,,,,,,U,OK,0.0004718303680419922,0.0,208.625
116,26,5,1,"[26, 21, 13, 9, 7, 5]",500.0,27.0,13.6,3.5,,,,,,U,OK,0.0004410743713378906,0.0,208.625
117,26,7,1,"[26, 21, 13, 9, 7]",400.0,21.6,13.6,2.8,,,,,,U,OK,0.00024008750915527344,0.0,208.625
118,26,8,1,"[26, 21, 13, 9, 10, 8]",550.0,29.5,1.0,3.8,,,,,,U,OK,0.0005252361297607422,0.0,208.625
119,26,8,1,"[26, 21, 13, 9, 10, 8]",550.0,29.5,1.0,3.8,,,,,,U,OK,0.00039505958557128906,0.0,208.625
120,26,9,1,"[26, 21, 13, 9]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.0003337860107421875,7.5,208.625
121,26,9,1,"[26, 21, 13, 9]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.0003139972686767578,8.4,208.625
122,26,10,1,"[26, 21, 13, 9, 10]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.0003409385681152344,0.0,208.625
123,26,13,1,"[26, 21, 13]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.00026297569274902344,0.0,208.625
124,26,14,1,"[26, 21, 13, 14]",400.0,21.4,3.8,2.6,,,,,,U,OK,0.0003571510314941406,0.0,208.625
125,26,18,1,"[26, 23, 25, 18]",300.0,16.0,1.0,2.1,,,,,,U,OK,0.00027680397033691406,0.0,208.625
126,26,21,1,"[26, 21]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.00031685829162597656,0.0,208.625
127,26,23,1,"[26, 23]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.00025177001953125,0.0,208.625
128,26,25,1,"[26, 23, 25]",200.0,10.6,1.0,1.4,,,,,,U,OK,0.0003399848937988281,0.0,208.625
129,26,25,1,"[26, 23, 25]",200.0,10.6,1.0,1.4,,,,,,U,OK,0.00029087066650390625,0.0,208.625
130,30,3,1,"[30, 18, 14, 10, 8, 3]",800.0,42.6,1.0,5.0,,,,,,U,OK,0.0003840923309326172,7.9,208.625
131,30,3,1,"[30, 18, 14, 10, 8, 3]",800.0,42.6,1.0,5.0,,,,,,U,OK,0.00032019615173339844,7.5,208.625
132,30,4,1,"[30, 18, 14, 10, 8, 4]",800.0,42.6,1.0,5.0,,,,,,U,OK,0.0004951953887939453,9.6,208.625
133,30,5,1,"[30, 18, 14, 10, 9, 7, 5]",850.0,45.3,1.0,5.4,,,,,,U,OK,0.00036787986755371094,0.0,208.625
134,30,7,1,"[30, 18, 14, 10, 9, 7]",750.0,39.9,1.0,4.8,,,,,,U,OK,0.000560760498046875,0.0,208.625
135,30,8,1,"[30, 18, 14, 10, 8]",600.0,32.0,1.0,3.8,,,,,,U,OK,0.0006868839263916016,0.0,208.625
136,30,9,1,"[30, 18, 14, 10, 9]",650.0,34.5,1.0,4.0,,,,,,U,OK,0.0003178119659423828,0.0,208.625
137,30,10,1,"[30, 18, 14, 10]",500.0,26.6,1.0,3.1,,,,,,U,OK,0.00017786026000976562,0.0,208.625
138,30,13,1,"[30, 25, 23, 13]",500.0,26.6,3.8,3.1,,,,,,U,OK,0.0003190040588378906,0.0,208.625
139,30,14,1,"[30, 18, 14]",400.0,21.2,1.0,2.4,,,,,,U,OK,0.0002942085266113281,0.0,208.625
140,30,18,1,"[30, 18]",300.0,15.8,1.0,1.7,,,,,,U,OK,0.000263214111328125,10.9,208.625
141,30,21,1,"[30, 25, 23, 26, 21]",500.0,26.6,1.0,3.3,,,,,,U,OK,0.0003247261047363281,10.7,208.625
142,30,23,1,"[30, 25, 23]",250.0,13.3,3.8,1.6,,,,,,U,OK,0.0003151893615722656,0.0,208.625
143,30,25,1,"[30, 25]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.0002410411834716797,0.0,208.625
144,30,26,1,"[30, 25, 23, 26]",400.0,21.2,1.0,2.6,,,,,,U,OK,0.0004968643188476562,0.0,208.625
