Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
72,23,3,1,"[23, 25, 18, 14, 10, 8, 3]",650.0,34.9,3.8,4.4,,,,,,U,OK,0.10581302642822266,0.0,196.53125
73,23,3,1,"[23, 25, 18, 14, 10, 8, 3]",650.0,34.9,3.8,4.4,,,,,,U,OK,0.10195803642272949,0.0,196.53125
74,23,4,1,"[23, 25, 18, 14, 10, 8, 4]",650.0,34.9,3.8,4.4,,,,,,U,OK,0.10552072525024414,0.0,196.53125
75,23,5,1,"[23, 13, 9, 7, 5]",550.0,29.5,12.8,3.6,,,,,,U,OK,0.10195422172546387,13.3,196.53125
76,23,7,1,"[23, 13, 9, 7]",450.0,24.1,12.8,2.8,,,,,,U,OK,0.1012570858001709,3.7,196.53125
77,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,,,,,,U,OK,0.10595417022705078,0.0,196.53125
78,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,,,,,,U,OK,0.1054081916809082,0.0,196.53125
79,23,9,1,"[23, 13, 9]",350.0,18.7,12.8,2.2,,,,,,U,OK,0.10555529594421387,0.0,196.53125
80,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,,,,,,U,OK,0.10576200485229492,12.7,196.53125
81,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,,,,,,U,OK,0.10080504417419434,0.0,196.53125
82,23,13,1,"[23, 13]",250.0,13.3,12.8,1.5,,,,,,U,OK,0.10558605194091797,0.0,196.53125
83,23,13,1,"[23, 13]",250.0,13.3,12.8,1.5,,,,,,U,OK,0.1053168773651123,0.0,196.53125
84,23,14,1,"[23, 25, 18, 14]",250.0,13.5,13.6,1.8,,,,,,U,OK,0.1050560474395752,0.0,196.53125
85,23,18,1,"[23, 25, 18]",150.0,8.1,13.6,1.2,,,,,,U,OK,0.10551977157592773,13.7,196.53125
86,23,18,1,"[23, 25, 18]",150.0,8.1,13.6,1.2,,,,,,U,OK,0.10528922080993652,24.1,196.53125
87,23,21,1,"[23, 26, 21]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.10562396049499512,0.0,196.53125
88,25,3,1,"[25, 18, 14, 10, 8, 3]",600.0,32.2,3.8,4.0,,,,,,U,OK,0.10364007949829102,0.0,196.53125
89,25,3,1,"[25, 18, 14, 10, 8, 3]",600.0,32.2,3.8,4.0,,,,,,U,OK,0.10556888580322266,0.0,196.53125
90,25,4,1,"[25, 18, 14, 10, 8, 4]",600.0,32.2,3.8,4.0,,,,,,U,OK,0.10216307640075684,10.2,196.53125
91,25,4,1,"[25, 18, 14, 10, 8, 4]",600.0,32.2,3.8,4.0,,,,,,U,OK,0.10203790664672852,9.8,196.53125
92,25,5,1,"[25, 23, 13, 9, 7, 5]",600.0,32.2,12.8,4.0,,,,,,U,OK,0.10557699203491211,17.9,196.53125
93,25,5,1,"[25, 23, 13, 9, 7, 5]",600.0,32.2,12.8,4.0,,,,,,U,OK,0.10534310340881348,0.0,196.53125
94,25,7,1,"[25, 23, 13, 9, 7]",500.0,26.8,12.8,3.3,,,,,,U,OK,0.10569381713867188,0.0,196.53125
95,25,7,1,"[25, 23, 13, 9, 7]",500.0,26.8,12.8,3.3,,,,,,U,OK,0.10554885864257812,13.5,196.53125
96,25,8,1,"[25, 18, 14, 10, 8]",400.0,21.6,13.6,2.8,,,,,,U,OK,0.10071492195129395,14.1,196.53125
97,25,8,1,"[25, 18, 14, 10, 8]",400.0,21.6,13.6,2.8,,,,,,U,OK,0.10565495491027832,0.0,196.53125
98,25,9,1,"[25, 23, 13, 9]",400.0,21.4,12.8,2.6,,,,,,U,OK,0.10541510581970215,0.0,196.53125
99,25,9,1,"[25, 23, 13, 9]",400.0,21.4,12.8,2.6,,,,,,U,OK,0.10581398010253906,0.0,196.53125
100,25,10,1,"[25, 18, 14, 10]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.10566902160644531,12.1,196.53125
101,25,10,1,"[25, 18, 14, 10]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.10557079315185547,10.8,196.53125
